author,publish_year,title,abstract
A. Akat; Ö. A. Nural,2022,"Managing Karadeniz Music Archive (KARMA): Foundations, Improvements, and Current Applications","KARMA, founded in Trabzon (Türkiye) in 2011, brings together audio-visual archival materials from the Black Sea hinterland. The goal of this article is to pro-mote the epistemological and institutional background and actions of KARMA with its short history, objectives, and current applications for digital preservation. In this context, we will present how KARMA adapts Latour’s actor-network theory, Deleuze and Guattari’s rhizome, and Akat's focus strategy model. We will also stress the importance of both micro and macro perspectives in order to understand the music cultures of the region through historical collections and new connections. © 2022, Institute of Musicology of the Serbian Academy of Sciences and Arts (SASA). All rights reserved."
A. Dekker,2022,NETWORKS OF CARE,"There is a need to preserve our digital cultural heritage for the future. However, the increasing speed with which technical media is used in digital preservation becomes obsolete, which leads to problems such as changes to the aesthetics and content of the artworks, organisational shifts, and ecological burden. Drawing from the concept of care and connecting this to the idea of networks of care, this chapter shows how the conceptualisation of care in digital preservation helps to comprehend the challenges of digital art preservation and networked culture more widely. By analysing three art projects in which networks have formed around the preservation of the project, the chapter emphasises that while there are multiple typologies of networks of care, there is a shared focus on a relational arrangement of care in which preservation is negotiated between different actors, including humans, but also material and technical elements. When acknowledging that these actors, and thus the care, may change over time, the implementation of networks of care can lead to more sustainable solutions for digital preservation. © 2023 selection and editorial matter, Andrew Dewdney and Katrina Sluis."
A. E. Odefunso; E. G. Bravo; Y. V. Chen,2022,Traditional African Dances Preservation Using Deep Learning Techniques,"Human action recognition continues to evolve and improve through deep learning techniques. There have been studies with some success in the field of action recognition, but only a few of them have focused on traditional dance. This is because dance actions, especially in traditional African dance, are long and involve fast movements. This research proposes a novel framework that applies data science algorithms to the field of cultural preservation by applying various deep learning techniques to identify, classify, and model traditional African dances from videos. Traditional dances are an important part of African culture and heritage. Digital preservation of these dances in their multitude and form is a challenging problem. The dance dataset was constituted from freely available YouTube videos. Four traditional African dances were used for the dance classification process: Adowa, Swange, Bata, and Sinte dance. Five Convolutional Neural Network (CNN) models were used for the classification and achieved an accuracy between 93% and 98%. Additionally, human pose estimation algorithms were applied to Sinte dance. A model of Sinte dance that can be exported to other environments was obtained. © 2022 Owner/Author."
A. El-Fakdi; J. L. de la Rosa,2022,Evaluating Auction Mechanisms for the Preservation of Cost-Aware Digital Objects under Constrained Digital Preservation Budgets,"Digital preservation is a field of research focused on designing strategies for maintaining digital objects accessible for general use in the coming years. Out of the many approaches to digital preservation, the present research article is a continuation work of a previously published article containing a proposal for a novel object-centered paradigm to address the digital preservation problem where digital objects share part of the responsibility for self-preservation. In the new framework, the behavior of digital objects is modeled to find the best preservation strategy. The results presented in the current article add a new economic constraint to the object behavior. Now, differently from the previous paper, migrations, copies and updates are not free to use, but subject to budget limitations to ensure the economic sustainability of the whole preservation system, forcing the now-called cost-aware digital objects for efficient management of available budget. The presented approach compares two auction-based mechanisms, a multi-unit auction and a combinatorial auction, with a simple direct purchase strategy as possible efficient behaviors for budget management. TiM, a simulated environment for running distributed digital ecosystems, is used to perform the experiments. The simulated results map the relation between the studied purchase models with the sustained quality level of digital objects, as a measure of its accessibility, together with its budget management capabilities. About the results, the best performance corresponds to the combinatorial auction model. The results are a good approach to deal with the digital preservation problem from a sustainable point of view and open the door to future implementations with other purchase strategies."
A. H. Poole; A. Todd-Diaz,2022,Nailing Jelly to the Wall: Teaching Technology in North American Graduate Archival Education Programs,"This exploratory mixed-methods case study relies on semistructured interviews with tenure-track faculty members from North American graduate archival programs and a survey of North American graduate students and early career professionals to explore how archival education programs incorporate technology. We asked faculty members not only about the technologies they currently teach, but also their curriculum priorities, topical wish lists, and future challenges to and changes in archival education. We asked students and early career professionals whether they wished their graduate program had better prepared them technologically. Findings revealed that although both groups saw technology and digital curation as current and future areas of priority, students and early career professionals felt ill-equipped to engage with technology in practice. We discuss the implications of these findings in light of the previous literature and adumbrate opportunities for future research. Annual Meeting of the Association for Information Science & Technology | Oct. 29 – Nov. 1, 2022 | Pittsburgh, PA. Author(s) retain copyright, but ASIS&T receives an exclusive publication license."
A. Hinton,2022,Using Oral History to Study the Personal Digital Archiving Practices of Modern Soldiers,"Drawing on literature from personal information management studies and on the topic of documentation of American military experiences, this article aims to help the archival profession understand the personal digital archiving practices of modern soldiers. During the summer of 2019, the author conducted oral history interviews with US Army soldiers at Fort Hood to address the questions of what personal records soldiers keep of their military experience, what they do if anything to preserve them, and how they value them. This study found that both military and socio-Technological factors contribute to a lack of digital recordkeeping among modern soldiers, that soldiers reliance on social media as ad hoc digital preservation tools leads to poor digital preservation practices, and that a majority of soldiers do not see their digital records as worthy of future historical study. The article concludes with a discussion of actions that can address these issues. © 2022 Society of American Archivists. All rights reserved."
A. J. Carlson; J. Mattos,2022,Heeding the Call: Finding At-Risk Electronic Titles in University of Hawaiʻi at Mānoa Hawaiian Collection,"This presentation covers a project to identify the preservation status of core journals and newspapers from the University of Hawaiʻi at Mānoa Library’s Hawaiian Collection, to determine the titles at risk, and to help in making preservation decisions. Using the Keepers Registry showed how these core titles relate to other keepers and other collections and the need for continuing local preservation decisions. © 2022, Published with license by Taylor & Francis Group, LLC. © 2022 Amy J. Carlson and Jodie Mattos."
A. Kameda; K. Mino; S. Hara; S. Sugimoto,2022,"Trial for Collecting, Sharing and Preserving Digital Research Assets in Asia","Collecting, sharing, and preserving digital research assets are essential for improving knowledge production's efficiency and reliability. However, efforts have been insufficient, and many digital assets have disappeared. We have established a research project RsDA with libraries, archives, and museums of major universities and research institutes in the Asian region. This paper will introduce the RsDA Inventory, an inventory of online databases related to the Asian region, as a core outcome of the project. We migrated the inventory data to Wikidata throughout the project, and behind that, the guidelines and data models played essential roles. RsDA activities and outcomes will contribute to realizing an open academic information environment and long-term preservation of such information in the Asian region. © 2022 Pacific Neighborhood Consortium."
A. Kriesberg; A. Acker,2022,The second US presidential social media transition: How private platforms impact the digital preservation of public records,"A second presidential social media transition in the United States occurred as Joe Biden took office on January 20, 2021. In the years since Barack Obama pioneered the use of platforms like Facebook and Twitter while President, Donald Trump shaped his Presidency around the use of Twitter, primarily through a personal account created before entering politics. In this paper, we examine Donald Trump's use of Twitter during his presidency as a lens through which to understand the ongoing archival preservation and data management challenges posed by social media platforms. The blurred lines between public and private records, deleting tweets, and the preservation issues that appeared after his suspension from Twitter and other platforms following the January 6, 2021 insurrection at the US Capitol all highlight an urgent, ongoing need by archivists, digital preservationists, and information scholars to consider how we might collect and manage social media records in an ever-changing information landscape. This paper draws primarily on publicly available information from existing preservation initiatives to analyze the state of digital preservation for presidential records. Our findings highlight how both public and private entities manage and provide access to Donald Trump's tweets, pointing to broader implications for social media data preservation. © 2022 Association for Information Science and Technology."
A. L. Cushing; G. Osti,2022,“So how do we balance all of these needs?”: how the concept of AI technology impacts digital archival expertise,"Purpose: This study aims to explore the implementation of artificial intelligence (AI) in archival practice by presenting the thoughts and opinions of working archival practitioners. It contributes to the extant literature with a fresh perspective, expanding the discussion on AI adoption by investigating how it influences the perceptions of digital archival expertise. Design/methodology/approach: In this study a two-phase data collection consisting of four online focus groups was held to gather the opinions of international archives and digital preservation professionals (n = 16), that participated on a volunteer basis. The qualitative analysis of the transcripts was performed using template analysis, a style of thematic analysis. Findings: Four main themes were identified: fitting AI into day to day practice; the responsible use of (AI) technology; managing expectations (about AI adoption) and bias associated with the use of AI. The analysis suggests that AI adoption combined with hindsight about digitisation as a disruptive technology might provide archival practitioners with a framework for re-defining, advocating and outlining digital archival expertise. Research limitations/implications: The volunteer basis of this study meant that the sample was not representative or generalisable. Originality/value: Although the results of this research are not generalisable, they shed light on the challenges prospected by the implementation of AI in the archives and for the digital curation professionals dealing with this change. The evolution of the characterisation of digital archival expertise is a topic reserved for future research. © 2022, Amber L. Cushing and Giulia Osti."
A. P. Pacheco; M. C. V. de Freitas; C. G. da Silva,2022,The FAIR Accessor and the authenticity of digital archival information,"The constant increase in digital information’s volume, variety, and complexity poses many problems that make it difficult to preserve archival information while ensuring that it remains authentic, reliable, accessible, trustworthy, intelligible, and reusable for as long as possible. This study explores the concepts of a possible implementation of a FAIR Accessor, a technology developed to provide Findable, Accessible, Interoperable, and Reusable research data, as an infrastructure that can support and aid archival information description and ensure its authenticity. A qualitative literature review on a selection of representative works in the fields of Information Science, Diplomatics, and the FAIR principles is followed by a discussion on how the key concepts of each field overlay and thus may complement each other mutually. It is concluded that the infrastructure of the FAIR Accessor can prove useful in enriching archival description and, ultimately, in assisting to ascertaining the authenticity of records. © 2022 Pontificia Universidade Catolica de Campinas. All rights reserved."
A. Shibambu; N. S. Marutha,2022,A framework for management of digital records on the cloud in the public sector of South Africa,"Purpose: The purpose of this paper is to investigate a framework for management of digital records on the cloud in South Africa. Design/methodology/approach: This qualitative case study used semi-structured interviews and document analysis to collect data from regulatory documents, records practitioners and chief information officers in the national government departments in South Africa. Findings: This study reveals that despite the advent of cloud computing, government is still struggling with manual paper-based records challenges, as they have not developed a government-owned cloud in which to manage and dispose records. Practical implications: Technological advancements have brought about dramatic changes to the management and disposition of records since cloud computing emerged. The traction gained by cloud computing influences how records are managed and disposed in the cloud storage. Currently, the South African Government manages and disposes records in the government premises as stipulated by the National Archives and Records Service of South Africa Act (1996). This is enforced by the National Archives and Records Service of South Africa, which is the government records regulator because records are on paper-based, microfilms and audio-visual formats. It is hoped that the recommendations and framework proposed in this study may assist the government and related sectors in the adoption and implementation of the cloud computing system for records management and disposal. This may assist in resolving challenges such as missing files, damaged records and archives and long turnaround time for retrieval of records. Social implications: In South Africa, the digital records are securely stored in storage mediums such as hard drives and USBs, to mention but a few. In addition to digital obsolescence faced by the storage mediums, global access to information is hindered because information is limited to those who can visit the archival holdings. The alternative option is to manage and dispose of records in the cloud. The framework and recommendations in this study may also assist in improving information, archives and records management policies and service delivery to the community at large. The framework proposed may be applied as a theory for framing future studies in the same area of cloud computing and used as a resource to guide other future studies and policymakers. Originality/value: This study provides a framework for management of digital records on the cloud in South Africa. It also proposes the promulgation of the Cloud Act to promote unlimited access to state heritage, regardless of time and location. This study is framed on the Digital Curation Centre Life Cycle Model. © 2021, Emerald Publishing Limited."
A. Wise,2022,Time is a thief of memory,"This paper is based upon a presentation during the session 'The Version of Record under Attack! The Dark Side of the Scholarly Publishing Universe' at the 17th APE Conference. It discusses the complex challenges of long-term digital preservation and how CLOCKSS is collaborating with publishers, libraries, and other stakeholders to preserve digital scholarship over the coming centuries. © 2022 - The authors. Published by IOS Press."
A. Wu; T. D. V. Atta; B. Scott; S. Thompson; A. Washington; J. Jones; A. Weidner; A. L. Ramirez; M. Smith,2022,Navigating Uncharted Waters Utilizing Innovative Approaches in Legacy Theses and Dissertations Digitization at the University of Houston Libraries,"In 2019, the University of Houston Libraries formed a Theses and Dissertations Digitization Task Force charged with digitizing and making more widely accessible the University's collection of over 19,800 legacy theses and dissertations. Supported by funding from the John P. McGovern Foundation, this initiative has proven complex and multifaceted, and one that has engaged the task force in a broad range of activities, from purchasing digitization equipment and software to designing a phased, multiyear plan to execute its charge. This plan is structured around digitization preparation (phase one), development of procedures and workflows (phase two), and promotion and communication to the project's targeted audiences (phase three). The plan contains step-by-step actions to conduct an environmental scan, inventory the theses and dissertations collections, purchase equipment, craft policies, establish procedures and workflows, and develop digital preservation and communication strategies, allowing the task force to achieve effective planning, workflow automation, progress tracking, and procedures documentation. The innovative and creative approaches undertaken by the Theses and Dissertations Digitization Task Force demonstrated collective intelligence resulting in scaled access and dissemination of the University's research and scholarship that helps to enhance the University's impact and reputation. © 2022."
B. Cannelli; M. Musso,2022,Social media as part of personal digital archives: exploring users’ practices and service providers’ policies regarding the preservation of digital memories,"After more than a decade of usage, social media have become a virtual environment where meaningful content is created and kept, highlighting its potential to become part of personal digital archives. This study investigates users’ attitudes and preservation practices related to digital memories created on social media. Survey findings highlighted how users seem to consider these items as meaningful digital traces to document important events of their lives, and a potential inherent part of their personal archives. However, results show how this attitude does not seem to be supported by adequate preservation strategies. After analysing social media platforms’ policies in relation to users’ preservation practices, we advocate for raising more awareness among both users and service providers regarding the risks posed by the ephemerality of the digital world and the need for specific provisions that go beyond the short-term retention of data and look to the future and potential use of what appears to be considered an inherent part of individuals’ personal archives. © 2021, The Author(s), under exclusive licence to Springer Nature B.V."
B. F. Popovici,2022,SOME CONSIDERATIONS ON THE ARCHIVAL STORAGE IN DIGITAL PRESERVATION OF RECORDS,"Starting from the assumption that the carrier is no longer an intrinsic part of digital record (though still a necessary presence for the record to exist), the paper seeks to critically examine the role of storage in digital preservation of records. Is the carrier/storage area a topic of concern for archivists or it is rather a topic for IT professionals? Is longevity of carrier an important archival topic? Is the size of storage an important pre-requisite for a digital preservation system? The examination of these questions will consider both theoretical approaches and personal experiences of the author. © 2022, Maribor Provincial Archives. All rights reserved."
B. Kim; S. Nakamura; H. Watanave,2022,Using Archivematica and Omeka S for Long-Term Preservation and Access of Digitized Archive Materials,"This study proposes a workflow using Archivematica, an application for long-term preservation of digital archives, and Omeka S for system accesses, for the long-term preservation of digitized archival materials and their access based on the Open Archival Information System (OAIS) Reference Model. The workflow requires three steps. First, metadata for ensuring authenticity is analyzed based on the OAIS information model. Second, information packages for preservation and accessing are generated using Archivematica. Third, an original tool is developed for metadata interoperability between Archivematica and Omeka S. Consequently, a consistent preservation and access workflow for digitized materials is successfully established. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
B. Lawlor,2022,An overview of the 2022 NISO plus conference: Global conversations/Global Connections,"This paper offers an overview of some of the highlights of the 2022 NISO Plus Annual Conference that was held virtually from February 15 - February 18, 2022. This was the third such conference and the second to be held in a completely virtual format due to the Pandemic. These conferences have resulted from the merger of NISO and the National Federation of Abstracting and Information Services (NFAIS) in June 2019, replacing the NFAIS Annual Conferences and offering a new, more interactive format. As with last year, there was no general topical theme, but there were topics of interest for everyone working in the information ecosystem - from the practical subjects of standards and metadata quality to preprints, Wikidata, archiving and digital preservation, Open Science and Open Access, and ultimately Globalization of the Information Infrastructure, the Metaverse, and Visions of the Future. With speakers and attendees from around the world and across multiple time zones and continents, it truly was a global conversation! © 2022 - The authors. Published by IOS Press."
C. D. Mune,2022,Supporting 3D: Potential practices for the creation and preservation of 3D/VR in libraries,"While information organizations and cultural heritage institutions have been considering best practices and ethical questions around digital creation and stewardship for decades, over the last few years, the required technologies for creating three-dimensional (3D) objects and virtual reality (VR)/augmented reality experiences have grown more affordable and accessible to nontechnical practitioners. COVID-19 further accelerated the adoption of these modalities among researchers, educators, and artists. In response, libraries, archives, and museums have strengthened their support of 3D/VR content development and are actively seeking effective methods of preservation and long-term access. This article explores some popular methods of 3D/VR capture and creation supported by such institutions, as well as the current state of digital preservation practices in libraries and other cultural heritage organizations. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC."
C. Flores-Fernández; C. G. Molina; A. G. Correa; T. N. Quinteros,2022,Digital preservation strategies of sound archives. Systematized review,"Digital preservation is a necessary tool to achieve the integral and lasting preservation of all types of document files, especially sound files, vulnerable documents to technological changes, which when recorded and processed on specific media, quickly become obsolete. The objective of this systematized review was to identify the digital preservation strategies used in the preservation of sound resources and their applications according to its format. The bibliographic search was carried out in twelve multidisciplinary databases, selecting 16 articles for research, from which eleven digital preservation strategies were identified. It concluded that the most used strategies are migration, preservation metadata, backup copies and emulation. On the other hand, it was not possible to establish an application parameter for digital preservation strategies according to the type of format of the sound files. © 2022. CSIC. All Rights Reserved."
C. Gainza; C. Zúñiga; J. González,2022,Digital Archive and Preservation Against Technological Obsolescence. Building a Cartography of Latin American Digital Literature,"In this article, we will discuss the preservation of works of Latin American digital literature and the construction of digital archives. Starting from a discussion of the concept of digital literature, we will broach the implications and challenges of digital preservation and archiving, concerning the works we collected for the project “Cartography of Latin American Digital Literature”. Finally, we will present ideas and questions which arise from this work related to innovation, digital aesthetics, and the experience of creating an archive of Latin American digital literature in times of impermanence. © 2022 Informa UK Limited, trading as Taylor & Francis Group."
C. Neudecker,2022,Cultural Heritage as Data: Digital Curation and Artificial Intelligence in Libraries,"Artificial Intelligence and Machine Learning offer enormous potential for applications in the digitization and digital curation of cultural heritage. But cultural heritage institutions have also produced large amounts of digital data that can be suitable to improve AI methods and models. At the same time there are problems and issues with data used in AI industry and research, which frequently lack quality curation and introduce or reinforce biases. What are the main obstacles for reuse of digitized cultural heritage as data for AI, and what can libraries with their quality awareness and long established practices and competencies of curation contribute to the field of AI?. © 2022 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0)"
C. Ohman,2022,The Case for a Digital World Heritage Label,"Much of humanity's most important digital heritage is under corporate control, which poses several threats to its longevity and authenticity. However, public institutions have little authority to intervene and preserve it, and their doing so is not always a desirable alternative. The goal of this article is to propose a mitigation of this dilemma. I do so in three steps. First, I introduce the concept of digital world heritage, which denotes digital artifacts with a value beyond their utility to any single individual or community. Second, I specify three ways commercial management threatens digital world heritage. Third, I argue that many of these threats may be mitigated by the introduction of a digital world heritage label. This proposal, I contend, does not interfere with the integrity of private data controllers since it does not involve the donation of data archives, yet it does support the longterm preservation of digital heritage."
C. Xie; X. Xia; H. Shishido; T. Matsui; I. Kitahara,2022,A VR Assisted Image Gathering Method for Digital Archiving of Cultural Properties,"Digital archiving cultural properties using 3D models can provide a more intuitive understanding of the 3D geometry. However, high-quality 3D model reconstruction using laser scanning is expensive and time-consuming. An image-based method like Structure from Motion (SfM) is a more cost-effective approach. Nevertheless, SfM requires many multi-view images to produce reliable results. Although the crowdsourcing approach can be applied to gather a large amount of image data from visitors, the quality of the data cannot be guaranteed. In this paper, we propose an image-gathering method upon crowdsourcing. Our method contains a VR-assisted interface that the experts use to generate snapshot instructions for visitors to improve data quality. © 2022 IEEE."
C. Zuanni,2022,Contemporary Collecting in a Pandemic: Challenges and Solutions for Documenting the COVID-19 Pandemic in Memory Organizations,"This paper draws on a survey of contemporary collecting projects aiming to document the COVID-19 pandemic in museums and other memory organizations. The survey focused on European memory organizations and investigated the practices they adopted in collecting, accessioning, recording, preserving, and displaying material and immaterial witnesses of the pandemic. This paper presents the results of the survey, with a particular attention on the challenges faced by these projects in relation to born-digital objects. It discusses how organizations were able to quickly launch initiatives aimed at collecting memories of the pandemic, drawing on different collection methods, adapting to the circumstances, and using a proactive attitude to reach out to different communities. The paper highlights the solutions adopted to ensure legal compliance in these projects and discusses the need for ethical considerations in relation to the collection of traumatic memories. It suggests that these collecting projects are likely to face significant challenges in the subsequent processing of this material—due to its volume and the need for new digital curation and preservation workflows. Therefore, the paper argues that these projects could also lead to a renewed attention and collaboration across the heritage sector on issues of digital curation and preservation. © 2022 by the author."
D. A. Leija-Román; L. G. Valle-Chavarría; M. L. Montes-Rojas,2022,Fotogrametría como recurso de virtualización en la difusión y preservación digital de patrimonio tangible1,"This work exposes the application of a workflow model with suggested actions, so that the virtualization by photogrammetry of tangible heritage is preserved and disseminated digitally through information packages enriched with parameters of norms and good practices that complement in an accessible way the heritage documentation processes in digital format. In principle, conceptual considerations on digitization and virtualization by photogrammetry are exposed; as well as the notion of digital heritage for purposes of dissemination and long-term digital preservation of derived objects. Next, the formats and digital residuals of the photographic capture and recording process for the production of 3D objects by basic photogrammetry applied to a sculptural sample are analyzed. Lastly, technical applications are aligned and established in the residual formats of the documentary process, to evaluate and integrate information packages for long-term digital dissemination and preservation purposes. © 2022,Journal of Sustainability Science and Management.All Rights Reserved."
D. Alonso Leija-Roman; L. Gertrudis Valle-Chavarria; M. Luisa Montes-Rojas,2022,Photogrammetry as a virtualization resource in the dissemination and digital preservation of tangible heritage,"This work exposes the application of a workflow model with suggested actions, so that the virtualization by photogrammetry of tangible heritage is preserved and disseminated digitally through information packages enriched with parameters of norms and good practices that complement in an accessible way the heritage documentation processes in digital format. In principle, conceptual considerations on digitization and virtualization by photogrammetry are exposed; as well as the notion of digital heritage for purposes of dissemination and long-term digital preservation of derived objects. Next, the formats and digital residuals of the photographic capture and recording process for the production of 3D objects by basic photogrammetry applied to a sculptural sample are analyzed. Lastly, technical applications are aligned and established in the residual formats of the documentary process, to evaluate and integrate information packages for long-term digital dissemination and preservation purposes."
D. Aoi; K. Hasegawa; L. Li; Y. Sakano; N. Sakamoto; S. Tanaka,2022,Improving Depth Perception Using Edge Highlighting in Transparent Stereoscopic Visualizations of Laser-Scanned 3D Point Clouds,"Digital archiving is the activity of digitizing cultural heritage to preserve and utilize it. Visualizing these data helps us to understand the complicated internal structure of the cultural heritage. Transparent stereoscopic visualization based on 3D point clouds is effective for understanding the complex structures of cultural heritage. However, the position and depth information often become unclear when three-dimensional data are rendered transparently. We examined whether perceived depth of transparently and stereoscopically visualized objects can be improved by highlighting 3D edges of the structure. We also investigated the effect of edge opacity on perceived depth. We tested two types of figures: vertically and horizontally combined shapes and diagonally combined shapes, which is extracted from the point cloud data of cultural heritage. We conducted psychophysical experiments, and the results suggest that edge highlighting improves the accuracy of perceived depth. Moreover, the effect of edge highlighting was more significant when binocular disparity and motion parallax were available. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd."
D. Formenton; L. De Souza Gracioso,2022,Metadata standards in web archiving technological resources for ensuring the digital preservation of archived websites,"Introduction: Digital preservation in Web archiving will only be possible with the effective use of metadata standards. These standards are the ones that determine the persistence, consistency, comprehensibility, the access, and representation of selected sites, collected and stored in Web archives, besides defining the archivability of sites and the interoperability among systems. Objective: In this context, the objective of the article was to identify and define which metadata standards could be judged by memory institutions and universities so that they could enable digital preservation in Web archives. Methodology: For this, a qualitative, exploratory, and descriptive research was done, using the bibliographic method from a non-systematic inventory together with a review and analysis of the literature content. The Dublin Core, MODS, EAD, VRA Core, PREMIS, and METS standards were selected and analyzed. Results and Conclusion: The analysis of the results indicates that Dublin Core, MODS, EAD, and VRA Core supported METS and PREMIS in detecting and documenting technical aspects of sites and proving their authenticity, context, and origin. METS can manage archived sites by acting as OAIS information packages, while Dublin Core proved to be an exponent for Web archiving through its use in remarkable area initiatives. © 2022 Universidade Estadual de Campinas. All rights reserved."
D. Garkov; C. Muller; M. Braun; D. Weiskopf; F. Schreiber,2022,Research Data Curation in Visualization : Position Paper,"Research data curation is the act of carefully preparing research data and artifacts for sharing and long-term preservation. Research data management is centrally implemented and formally defined in a data management plan to enable data curation. In tandem, data curation and management facilitate research repeatability. In contrast to other research fields, data curation and management in visualization are not yet part of the researcher's compendium. In this position paper, we discuss the unique challenges visualization faces and propose how data curation can be practically realized. We share eight lessons learned in managing data in two large research consortia, outline the larger curation workflow, and define the typical roles. We complement our lessons with minimum criteria for selecting a suitable data repository and five challenging scenarios that occur in practice. We conclude with a vision of how the visualization research community can pave the way for new curation standards. © 2022 IEEE."
D. Giaretta; T. Redondo; A. G. Martinez; M. Fuertes,2022,"LABDRIVE, a Petabyte scalable, OAIS/ISO 16363 conformant, for scientific research organisations to preserve documents, processed data, and software","Vast amounts of scientific, cultural, social, business and government, and other, information is being created every day. There are billions of objects, in a multitude of formats, semantics and associated software. Much of this information is transitory but there is still an immense amount which should be preserved for the medium and long term, even indefinitely.Preservation requires that the information continues to be usable, not simply to be printed or displayed. Of course, the digital objects (the bits) must be preserved, as must the 'metadata' which enables the bits to the understood which includes the software.Before LABDRIVE no system could adequately preserve such information, especially in such gigantic volume and variety.In this paper we describe the development of LABDRIVE and its ability to preserve and to scale up to tens or hundreds of Petabytes in a way which is conformant to the OAIS Reference Model and capable of being ISO 16363 certified. © 2022 IEEE."
D. L. Karagkounis; S. D. Tsanaktsidou,2022,"Digital Documentation and 3D Modelling in the Restoration of the First Ancient Theatre of Larissa, Greece","Digital documentation and 3D modelling find a wide application in the protection, preservation and restoration of Cultural Heritage Monuments. In the current paper, the use of these technologies is demonstrated in the case of the First Ancient Theatre of Larissa, one of the largest and most important theatres in Greece, the restoration of which has been ongoing for more than 20 years. In the NSRF 2014-2020 funded project Restoration of the first Ancient Theatre of Larissa - Phase E"", part of the koilon (cavea) is restored by repositioning 300 ancient marble seats, ""edolia"", to their original or corresponding positions, and by the addition of 240 new ""edolia"", according to the approved restoration study. The koilon is documented through 3d laser scanning and photogrammetry methods to produce a three dimensional reconstructed model. Then, an as-designed model of the koilon is created, depicting the curvature, elevation and the new position of both ancient and new ""edolia"". Separate 3d models are created for each new ""edolio"" that incorporate all the information needed to produce them on a CNC machine, ensuring the best fit. The paper also presents the implementation of digital documentation in the project's execution where modern technology meets ancient techniques."""
D. Pearson; J. Doig,2022,"Tales from tHE disK FILES"": Lessons Learnt from a Data Recovery Project in 2003-2006 at the National Archives of Australia""","This case study re-evaluates a large-scale project carried out by the National Archives of Australia (NAA) between 2003 and 2006. The project aimed to identify obsolete digital media (physical data carriers) in its collection and to describe and recover the data from the carriers using a third-party data recovery provider.1 A detailed process for data recovery was developed that included the capture of a full audit trail of steps in the data recovery process. The project was completed in four stages: phase 1 obtained bit-level images from the carriers; phase 2 extracted individual bit-files from the carriers; phase 3 identified duplicate files and proprietary or complex file formats; and phase 4 was a final report that documented processes, made recommendations on future processes, and provided lessons learned. Recent work described in this article indicates that files extracted from the carriers in 2004 2005 can be accurately rendered in current computer environments. The ongoing significance of the project is that it is an early demonstration of the success of bit-level preservation and the need to create disk images as part of a preservation workflow, suggesting a sustainable methodology for digital preservation. The project also influenced archival policy at the NAA and influenced the development of subsequent software tools that became widely known in the broader digital preservation community. The focus on archival principles of authenticity, integrity, chain of custody, and provenance of the recovered records were key learnings to ensuring long-Term access and usability. Finally, the metrics resulting from the project, for example, rates of readable carriers and rates of data recovery by carrier type, are useful data from a point in time that correspond quite closely to similar data recovery projects undertaken by other institutions at about the same time and provide a benchmark for future research. © 2022 Society of American Archivists. All rights reserved."
D. Trček,2022,Cultural heritage preservation by using blockchain technologies,"Ubiquitous digitization enables promising options for cultural heritage preservation. Therefore, a new approach is presented that considers deployment scenarios by linking heritage science to tourism. Such an approach is necessary because neither technology nor society views can be treated separately to obtain deployable solutions of a wider social, and even national importance. Clearly, while the traditional approaches to cultural heritage preservation will remain a gold standard, they will be increasingly complemented by digital preservation techniques. Thus, based on practical implementations and lessons learnt in other areas, this multidisciplinary framework paper analyses existing disruptive information technologies deployments. In line with the findings it presents a novel technological architecture tailored to the needs of cultural heritage preservation that deploys an open blockchain architecture. The architecture preserves the advantages of traditional blockchains, which made this technology so important, while enabling energy efficient implementations that can be deployed in mobile applications. By additionally using the contribution-ware principle it links it to tourism, where the identification of users focused incentives and business models play a central role. It is obvious that tourism is a good candidate in such preservation efforts due to the organic links between it and cultural heritage and can support further developments in the heritage preservation domain. © 2022, The Author(s)."
D. Ye,2022,Digital Processing and Storage of Audio Data Based on Tag Information,"With the development of information technology and Internet application, the information on the Internet has exploded. With the continuous advancement of China's digitalization and informatization, all kinds of libraries, museums and archives have successively started the digital preservation and restoration of audio materials in precious historical collections, and the application demand of audio restoration technology is increasing. Along with this, the quantity and information of all kinds of media are becoming more and more numerous, especially audio and video resources. Archives store a large number of audio and video archives of traditional carriers, which are of great value and have a strong demand for utilization. However, with the development of science and technology, the storage carrier, data mode, transmission mode, etc. which these audio and video files depend on are gradually backward and obsolete. In order to effectively help users quickly find the places they are interested in, personalized processing has become one of the research hotspots in recent years. A large number of video, audio and video materials have been accumulated among colleges and universities, many of which are of great historical significance and scientific research value. However, in the face of massive information, what individual users can access is only a drop in the ocean. Driven by this demand, the digital processing and storage of audio data came into being. However, in terms of processing methods, the most common method used in academia is to build a user scoring matrix based on the user's historical check-in data and find similar users for collaborative filtering. However, due to the serious sparsity of the user's check-in data, it is difficult to find similar users, resulting in low accuracy of the stored results. Starting with the method of digital transfer of traditional carrier audio and video files, this paper expounds the audio digital processing and storage algorithm based on label information. © 2022 IEEE."
